,two_qubit_reduction,one_qubit_reduction,cx_count_out,cx_count_in,one_qubit_count_out,one_qubit_count_in,n_qubits,n_rep,non_matching_cx,time_diff,arch,algorithm,p_edge,circ_reps
118,-2.0,-12.142857142857142,18,6,92,7,4,9,0,0.013637781143188477,square,pyzx,0.5,1
119,-1.3333333333333333,-3.0,14,6,28,7,4,9,8,0.005856990814208984,square,tket,0.5,1
120,0.25,0.0,6,8,6,6,4,10,0,0.01258397102355957,square,divide_fast,0.5,1
121,0.0,0.0,8,8,6,6,4,10,0,1.417820930480957,square,pauli_opt,0.5,1
122,-1.0,-11.833333333333334,16,8,77,6,4,10,4,0.011143207550048828,square,pyzx,0.5,1
123,-0.5,-3.5,12,8,27,6,4,10,6,0.005732059478759766,square,tket,0.5,1
124,0.0,0.0,4,4,6,6,4,11,0,0.011736869812011719,square,divide_fast,0.5,1
125,0.0,0.0,4,4,6,6,4,11,0,1.3129940032958984,square,pauli_opt,0.5,1
126,0.0,-8.666666666666666,4,4,58,6,4,11,0,0.011619091033935547,square,pyzx,0.5,1
127,0.0,-3.3333333333333335,4,4,26,6,4,11,0,0.0046923160552978516,square,tket,0.5,1
128,0.0,0.0,6,6,5,5,4,12,0,0.009362936019897461,square,divide_fast,0.5,1
129,0.3333333333333333,0.0,4,6,5,5,4,12,0,1.2844371795654297,square,pauli_opt,0.5,1
130,0.6666666666666666,-7.6,2,6,43,5,4,12,2,0.009524106979370117,square,pyzx,0.5,1
131,0.6666666666666666,-4.0,2,6,25,5,4,12,2,0.005716085433959961,square,tket,0.5,1
132,0.16666666666666666,0.0,10,12,8,8,4,13,0,0.017586946487426758,square,divide_fast,0.5,1
133,0.0,0.0,12,12,8,8,4,13,0,1.6541121006011963,square,pauli_opt,0.5,1
134,-0.75,-13.0,21,12,112,8,4,13,12,0.015295982360839844,square,pyzx,0.5,1
135,0.0,-2.5,12,12,28,8,4,13,0,0.005919933319091797,square,tket,0.5,1
136,0.25,0.0,6,8,6,6,4,14,0,0.012356758117675781,square,divide_fast,0.5,1
137,0.0,0.0,8,8,6,6,4,14,0,1.3421542644500732,square,pauli_opt,0.5,1
138,0.5,-8.666666666666666,4,8,58,6,4,14,2,0.009098052978515625,square,pyzx,0.5,1
139,0.5,-3.3333333333333335,4,8,26,6,4,14,2,0.00468897819519043,square,tket,0.5,1
140,0.16666666666666666,0.0,10,12,8,8,4,15,0,0.01444101333618164,square,divide_fast,0.5,1
141,0.16666666666666666,0.0,10,12,8,8,4,15,0,1.4176921844482422,square,pauli_opt,0.5,1
142,-0.75,-13.0,21,12,112,8,4,15,9,0.015227079391479492,square,pyzx,0.5,1
143,-1.25,-2.5,27,12,28,8,4,15,0,0.008034944534301758,square,tket,0.5,1
144,0.16666666666666666,0.0,10,12,8,8,4,16,0,0.014410972595214844,square,divide_fast,0.5,1
145,0.16666666666666666,0.0,10,12,8,8,4,16,0,1.4485859870910645,square,pauli_opt,0.5,1
146,-0.75,-13.0,21,12,112,8,4,16,9,0.015932083129882812,square,pyzx,0.5,1
147,-1.25,-2.5,27,12,28,8,4,16,0,0.008069038391113281,square,tket,0.5,1
148,0.125,0.0,14,16,8,8,4,17,0,0.01460886001586914,square,divide_fast,0.5,1
149,0.375,0.0,10,16,8,8,4,17,0,1.5454299449920654,square,pauli_opt,0.5,1
150,-0.3125,-13.0,21,16,112,8,4,17,0,0.015541315078735352,square,pyzx,0.5,1
151,0.625,-2.5,6,16,28,8,4,17,4,0.005210161209106445,square,tket,0.5,1
152,0.2,0.0,8,10,7,7,4,18,0,0.012758016586303711,square,divide_fast,0.5,1
153,0.0,0.0,10,10,7,7,4,18,0,1.408524990081787,square,pauli_opt,0.5,1
